,x,y,riv_order,upland_drainage_area
2526,-78.2385022235229,-5.834314995202998,6.0,61.077
1097988,-67.12419800052389,-9.415456301764998,5.0,469.131
370680,-73.6898405241537,-10.705190922226999,6.0,30.375
2801949,-49.4056487500815,-3.6411114527929995,6.0,158.944
780282,-70.0097351605905,1.0660925680810003,6.0,18.028
2004999,-59.02410595030349,-4.413642849820999,5.0,401.886
2085098,-58.1105133600483,-5.297471143030998,6.0,32.274
506119,-72.44490977616509,-2.4932258176609996,5.0,215.52
1082526,-67.25930676387149,0.5619830971390005,3.0,88079.46
1854161,-60.555338601576295,-12.025477631837,6.0,65.924
1909656,-60.034204800092695,-11.615206720420998,6.0,59.085
220375,-75.02806065635849,-10.873227412540999,4.0,11451.524
197981,-75.23715755201549,-0.10798057203499978,6.0,19.105
724894,-70.4922664582605,-7.892216428528998,6.0,47.623
1281389,-65.4900253390815,-2.432121639364999,6.0,33.886
846004,-69.40817947616189,-13.280295578986998,6.0,24.236
900691,-68.8902625499961,-13.609821683368999,6.0,100.952
2071849,-58.2649233753027,-8.263206082468999,6.0,114.482
1622650,-62.572319425836895,-16.621384756528997,4.0,88606.39
811026,-69.7363007585775,-7.896581012692998,6.0,46.991
1662387,-62.218463140878896,-2.7070904416969994,6.0,156.09
1893097,-60.1918316906649,-3.291944719672999,5.0,327.266
310207,-74.2013236996839,-4.583861632216999,6.0,145.487
432185,-73.14297172012769,-9.976305366838998,6.0,49.04
1834242,-60.738700494690896,-2.9733300757009995,6.0,73.096
288042,-74.39755309406969,-6.347153634472999,5.0,375.847
2581539,-52.16251089743609,-13.537806044662997,6.0,376.853
749320,-70.28316956260349,-3.281033259262999,6.0,39.216
1448548,-64.1260702043343,-6.351518218636999,6.0,58.886
2024285,-58.80214155337529,-4.256517819916999,6.0,35.749
869487,-69.17656445328029,1.0158998501950003,6.0,18.458
2467392,-53.577936037268096,0.7671185528470001,6.0,106.46
1127824,-66.8636310997821,-4.9395752415829985,6.0,23.953
1296129,-65.3710009523229,-0.7801265332909995,6.0,59.883
1730083,-61.63942558367489,-8.978997885364999,3.0,53346.926
1869948,-60.417012962910896,-8.664747825556999,5.0,277.13
1825094,-60.8255561282715,-15.538967883856998,6.0,314.377
2445232,-53.848153563963294,-3.892075042222999,6.0,65.104
1730718,-61.6329918330393,-6.774882882544999,4.0,2712.462
1022076,-67.79009119130849,-12.278623513348997,5.0,1366.551
2713685,-50.5154707347225,-11.087092036576998,5.0,605.644
2274182,-55.9841587749825,-12.429201667007,6.0,53.448
2371358,-54.813216159303295,2.080858386211,6.0,226.521
1242739,-65.8117128708615,0.6645508249930003,5.0,1282.87
868366,-69.1894319545515,-5.114158608142999,6.0,107.763
2639224,-51.4354970756133,-12.848201746750998,6.0,375.963
877256,-69.1025763209709,-3.403241615854999,6.0,24.428
2865100,-48.4212849028347,-13.764764421191,6.0,116.767
789039,-69.9357470282811,-12.756545479306997,3.0,19545.324
431044,-73.15262234608109,0.04477987370500047,4.0,2996.801
477385,-72.72156105349589,-4.2281480228509984,5.0,176.164
1889116,-60.233651069796295,-1.2056734892809993,6.0,134.565
286028,-74.41685434597649,-0.2934753990049992,6.0,20.607
155023,-75.6650019692829,-6.528283877278998,5.0,1154.621
1122991,-66.9054504789135,-8.241383161648999,6.0,232.129
1465478,-63.968443313762094,-9.845367841918998,6.0,23.052
962432,-68.3144418681099,-9.293247945172999,6.0,130.06
2855652,-48.5821286687247,-8.424695696536999,6.0,120.172
884091,-69.0382388146149,-2.3753820452329992,6.0,72.919
230039,-74.9412050227779,-12.053847428902998,6.0,133.511
776662,-70.0451207890863,-13.825868599486999,5.0,158.79
631777,-71.2739671604859,-11.401342096385,6.0,173.352
3033,-78.1998997197093,-5.153439865618999,6.0,202.44
270335,-74.56161373527749,-3.824423987680999,6.0,44.122
2881321,-48.1768023786819,-3.802601066860999,5.0,4324.729
18602,-77.55330778083149,-3.1370019818509998,5.0,899.105
1638208,-62.43721066248929,-10.469503377370998,6.0,44.108
807378,-69.7684695117555,-12.160779740920997,6.0,173.755
1878177,-60.34302483060149,-8.983362469528998,6.0,45.798
623397,-71.3447384174775,-6.864356857906998,6.0,75.446
114253,-76.1314488903639,-6.8425339370869995,6.0,64.154
2759573,-49.9653850553787,-8.302487339945,6.0,55.861
551351,-72.0074147329443,-1.9498350892429994,6.0,26.817
2385216,-54.6266373908709,-1.0987411772629998,6.0,92.072
721252,-70.5244352114385,-3.4599812099869998,6.0,75.42
593022,-71.61173906885489,0.2237278244290004,5.0,165.929
282930,-74.4458062238367,-4.614413721364999,2.0,305941.38
2836278,-48.8812980732801,-7.824565373986999,6.0,38.92
2898094,-47.842247345630696,-9.607498004980998,5.0,500.231
2813567,-49.2351543582381,-14.722790645188997,6.0,54.192
258651,-74.6774212467183,-8.946263504134999,3.0,27900.037
394760,-73.47752675317889,-8.815325979214998,6.0,53.246
2288892,-55.816881258456895,-11.626118180830998,6.0,124.899
1360325,-64.8595177767927,-10.015586624314999,5.0,839.142
581040,-71.7211128296601,-9.561669871258998,6.0,42.971
1977698,-59.336142856130095,-5.544070148296999,6.0,119.635
1806737,-60.9896167694793,-0.9263401027849993,6.0,100.446
1434427,-64.25474521704629,-13.631644604188999,6.0,109.704
2403172,-54.391805492671494,-13.328306004791,6.0,141.779
2436261,-53.95752732476849,-6.519554708950999,6.0,241.631
2158290,-57.306294530598294,-8.202101904172999,6.0,15.934
1555310,-63.138489481769696,-5.954341059712998,6.0,351.993
701745,-70.6852789773285,-4.686429360070999,6.0,17.97
1151215,-66.6448835781717,-9.638050094128998,6.0,50.365
2780957,-49.6951675286835,-3.2155644968029997,6.0,30.648
1013813,-67.8608624483001,-6.5872057634929995,6.0,77.614
2598460,-51.94054650050789,-8.295940463698999,6.0,96.639
1380875,-64.69867401090269,-16.981462950058997,4.0,5081.47
804183,-69.79742138961569,-13.081706999524997,6.0,40.139
2708017,-50.589458867031894,-2.5521477038749993,6.0,33.24
179639,-75.4076519438589,-5.880143128924999,6.0,168.283
1192202,-66.2620754153535,1.0071706818670005,6.0,144.874
1709030,-61.819570601471696,-7.069492313614999,6.0,18.533
2202008,-56.8108957316571,0.5096080871710003,6.0,88.865
2604142,-51.8697752435163,-13.297753915643,6.0,72.489
1826152,-60.815905502318095,1.2908686525270001,6.0,83.479
1002699,-67.9509349571985,-5.738294143594999,6.0,23.067
2095542,-57.9914889732897,-3.9968250621589996,6.0,69.165
1758071,-61.398159934839896,-0.5771733696649997,6.0,81.996
2395852,-54.4883117522055,-10.452045040714998,6.0,80.22
1641150,-62.405041909311294,-0.7102931866669997,4.0,6335.534
409209,-73.3488517404669,-2.364470584822999,4.0,1838.584
2705168,-50.6248444955277,-3.2417520017869994,6.0,91.509
2760818,-49.9493006787897,-4.509663701428998,6.0,208.193
2619149,-51.6799795997661,-0.9023348898829995,6.0,80.27
1692622,-61.9546793648193,0.3655768097590002,6.0,42.931
398334,-73.4453580000009,-2.6045227138429996,6.0,28.52
1900592,-60.117843558355496,-3.6738458340229996,6.0,295.154
164031,-75.56849570974889,-1.6595902423369995,6.0,21.028
1436289,-64.2386608404573,-9.795175124032998,6.0,26.229
92231,-76.4048832923769,-1.2340432863469997,6.0,83.913
1378586,-64.7147583874917,-2.4146633027089996,5.0,779.686
2040477,-58.6091290343073,-8.466159246094998,6.0,87.251
735106,-70.4021939493621,-6.015445238008999,6.0,63.397
1692184,-61.96111311545489,-9.027008311168998,6.0,21.835
2222682,-56.582497584093296,-12.741269434732999,6.0,179.798
1111216,-67.0051736137653,-3.4316114129209994,6.0,24.855
2417379,-54.20200984892129,-9.801722000278998,6.0,52.455
1580778,-62.926175710794894,-13.489795618858999,4.0,34016.832
2251780,-56.2447256757243,-6.534830753524998,6.0,76.993
600912,-71.5441846871811,-9.950117861854999,5.0,693.016
1102508,-67.0823786213925,-14.768618778910998,6.0,231.386
454733,-72.93065794915289,-4.725710617547,6.0,27.81
516536,-72.34518664131329,-2.7638300358289993,6.0,45.452
1088480,-67.2110536341045,-7.294268398060998,6.0,93.254
738724,-70.37324207150189,-5.637908707822998,5.0,1003.653
47843,-77.01287272744109,-4.160496968308999,6.0,104.484
325147,-74.07264868697189,-1.7708871385189995,6.0,24.245
1651507,-62.31496940041289,-0.9678036523429996,6.0,45.931
1365633,-64.8176983976613,-7.423023630898999,6.0,44.487
607609,-71.47984718082509,-0.32620978023499925,6.0,131.798
631797,-71.2739671604859,-12.204425582560997,6.0,54.966
588033,-71.65677532330409,-3.8746167055669996,5.0,497.842
1123418,-66.90223360359569,-12.269894345020997,3.0,97936.01
1848581,-60.6035917313433,-2.958054031126999,2.0,702363.2
1182031,-66.3553647995697,-15.333832428148998,6.0,116.285
2667833,-51.088074541290894,-5.009408588206998,6.0,291.64
234852,-74.8993856436465,-9.607498004980998,5.0,324.746
1407467,-64.4799264892923,0.13861843323100054,6.0,29.623
411184,-73.33276736387789,-7.139325660238999,5.0,1130.005
2263101,-56.116050663012295,-7.918403933512998,5.0,735.761
2191658,-56.9267032430979,-1.4479079103829995,6.0,29.184
1117023,-66.95692048399829,-12.634337122715,4.0,84135.28
2879420,-48.2154048824955,-14.367077035822998,5.0,2955.284
